alg	file	n	outputSize	correct	buildTime	searchTime	memory	dim
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000537	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000186	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000178	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000178	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000177	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000177	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.00018700000000001	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000176	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000176	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.00020199999999999	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000177	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000177	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.00017700000000001	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.00017600000000001	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000177	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.00017600000000001	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000177	1.753044128418	3
kdTree	n_378_d_3_r_1000_s_7.2304267925257_rs_3.3560668262442.txt	378	378	true	0.017747	0.000177	1.753044128418	3
